id,localized_name,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
1,Anti-Mage,agi,Melee,1,0,0,1,0,0,0,0,2
2,Axe,str,Melee,1,0,0,0,1,1,1,0,2
3,Bane,all,Ranged,0,0,0,1,1,0,1,1,4
4,Bloodseeker,agi,Melee,1,0,0,1,1,1,0,0,2
5,Crystal Maiden,int,Ranged,0,0,0,1,1,0,0,1,2
6,Drow Ranger,agi,Ranged,1,0,1,0,1,0,0,0,2
7,Earthshaker,str,Melee,0,0,0,1,1,1,0,1,2
8,Juggernaut,agi,Melee,1,0,1,0,0,0,0,0,2
9,Mirana,all,Ranged,1,0,0,1,1,0,0,1,2
10,Morphling,agi,Ranged,1,0,0,1,1,0,1,0,0
11,Shadow Fiend,agi,Ranged,1,0,0,1,0,0,0,0,0
12,Phantom Lancer,agi,Melee,1,0,1,1,0,0,0,0,2
13,Puck,int,Ranged,0,0,0,1,1,1,0,0,2
14,Pudge,str,Melee,0,0,0,1,1,1,1,0,2
15,Razor,agi,Ranged,1,0,1,1,0,0,1,0,0
16,Sand King,all,Melee,0,0,0,1,1,1,0,1,6
17,Storm Spirit,int,Ranged,1,0,0,1,1,1,0,0,2
18,Sven,str,Melee,1,0,0,1,1,1,1,0,2
19,Tiny,str,Melee,1,0,1,1,1,1,1,0,2
20,Vengeful Spirit,all,Ranged,0,0,0,1,1,1,0,1,2
21,Windranger,all,Ranged,1,0,0,1,1,0,0,1,2
22,Zeus,int,Ranged,1,0,0,1,0,0,0,0,2
23,Kunkka,str,Melee,1,0,0,1,1,1,1,1,2
25,Lina,int,Ranged,1,0,0,1,1,0,0,1,2
26,Lion,int,Ranged,0,0,0,1,1,1,0,1,2
27,Shadow Shaman,int,Ranged,0,0,1,1,1,1,0,1,2
28,Slardar,str,Melee,1,0,0,0,1,1,1,0,0
29,Tidehunter,str,Melee,1,0,0,1,1,1,1,0,2
30,Witch Doctor,int,Ranged,0,0,0,1,1,0,0,1,2
31,Lich,int,Ranged,0,0,0,1,0,0,0,1,2
32,Riki,agi,Melee,1,0,0,0,1,0,0,0,2
33,Enigma,all,Ranged,0,0,1,0,1,1,0,0,0
34,Tinker,int,Ranged,1,0,1,1,0,0,0,0,2
35,Sniper,agi,Ranged,1,0,0,1,0,0,0,0,2
36,Necrophos,int,Ranged,1,0,0,1,1,0,1,0,2
37,Warlock,int,Ranged,0,0,0,0,1,1,0,1,2
38,Beastmaster,all,Melee,0,0,0,1,1,1,1,0,2
39,Queen of Pain,int,Ranged,1,0,0,1,0,0,0,0,2
40,Venomancer,all,Ranged,0,0,1,1,1,1,0,1,0
41,Faceless Void,agi,Melee,1,0,0,0,1,1,1,0,2
42,Wraith King,str,Melee,1,0,0,0,1,1,1,1,2
43,Death Prophet,int,Ranged,1,0,1,1,1,0,0,0,2
44,Phantom Assassin,agi,Melee,1,0,0,0,0,0,0,0,2
45,Pugna,int,Ranged,0,0,1,1,0,0,0,0,2
46,Templar Assassin,agi,Ranged,1,0,0,0,0,0,0,0,2
47,Viper,agi,Ranged,1,0,0,0,1,1,1,0,0
48,Luna,agi,Ranged,1,0,1,1,0,0,0,0,2
49,Dragon Knight,str,Melee,1,0,1,1,1,1,1,0,2
50,Dazzle,all,Ranged,0,0,0,1,1,0,0,1,2
51,Clockwerk,all,Melee,0,0,0,1,1,1,1,0,2
52,Leshrac,int,Ranged,1,0,1,1,1,0,0,1,4
53,Nature's Prophet,int,Ranged,1,0,1,1,0,0,0,0,2
54,Lifestealer,str,Melee,1,0,0,0,1,0,1,0,2
55,Dark Seer,all,Melee,0,0,0,0,1,1,0,0,2
56,Clinkz,agi,Ranged,1,0,1,0,0,0,0,0,2
57,Omniknight,str,Melee,0,0,0,1,0,0,1,1,2
58,Enchantress,int,Ranged,0,0,1,0,1,0,1,1,4
59,Huskar,str,Ranged,1,0,0,0,0,1,1,0,2
60,Night Stalker,str,Melee,1,0,0,1,1,1,1,0,2
61,Broodmother,all,Melee,1,0,1,1,0,0,0,0,8
62,Bounty Hunter,agi,Melee,0,0,0,1,0,0,0,0,2
63,Weaver,agi,Ranged,1,0,0,0,0,0,0,0,4
64,Jakiro,int,Ranged,0,0,1,1,1,0,0,1,2
65,Batrider,all,Ranged,0,0,0,0,1,1,0,0,2
66,Chen,all,Ranged,0,0,1,0,0,0,0,1,2
67,Spectre,agi,Melee,1,0,0,0,0,0,1,0,0
68,Ancient Apparition,int,Ranged,0,0,0,1,1,0,0,1,0
69,Doom,str,Melee,1,0,0,1,1,1,1,0,2
70,Ursa,agi,Melee,1,0,0,0,1,0,1,0,2
71,Spirit Breaker,str,Melee,1,0,0,0,1,1,1,0,2
72,Gyrocopter,agi,Ranged,1,0,0,1,1,0,0,0,2
73,Alchemist,str,Melee,1,0,0,1,1,1,1,1,2
74,Invoker,int,Ranged,1,0,1,1,1,0,0,0,2
75,Silencer,int,Ranged,1,0,0,1,1,1,0,1,2
76,Outworld Destroyer,int,Ranged,1,0,0,1,1,0,0,0,4
77,Lycan,all,Melee,1,0,1,0,0,0,1,0,2
78,Brewmaster,all,Melee,1,0,0,1,1,1,1,0,2
79,Shadow Demon,int,Ranged,0,0,0,1,1,1,0,1,2
80,Lone Druid,all,Ranged,1,0,1,0,0,0,1,0,2
81,Chaos Knight,str,Melee,1,0,1,0,1,1,1,0,2
82,Meepo,agi,Melee,1,0,1,1,1,1,0,0,2
83,Treant Protector,str,Melee,0,0,0,0,1,1,1,1,2
84,Ogre Magi,str,Melee,0,0,0,1,1,1,1,1,2
85,Undying,str,Melee,0,0,0,1,1,0,1,1,2
86,Rubick,int,Ranged,0,0,0,1,1,0,0,1,2
87,Disruptor,int,Ranged,0,0,0,1,1,1,0,1,2
88,Nyx Assassin,all,Melee,0,0,0,1,1,1,0,0,6
89,Naga Siren,agi,Melee,1,0,1,0,1,1,0,1,0
90,Keeper of the Light,int,Ranged,0,0,0,1,1,0,0,1,2
91,Io,all,Ranged,0,0,0,1,0,0,0,1,0
92,Visage,all,Ranged,0,0,1,1,1,0,1,1,2
93,Slark,agi,Melee,1,0,0,1,1,0,0,0,2
94,Medusa,agi,Ranged,1,0,0,0,1,0,1,0,0
95,Troll Warlord,agi,Ranged,1,0,1,0,1,0,1,0,2
96,Centaur Warrunner,str,Melee,0,0,0,1,1,1,1,0,4
97,Magnus,all,Melee,0,0,0,1,1,1,0,0,4
98,Timbersaw,all,Melee,0,0,0,1,0,0,1,0,2
99,Bristleback,str,Melee,1,0,0,1,0,1,1,0,2
100,Tusk,str,Melee,0,0,0,1,1,1,0,0,2
101,Skywrath Mage,int,Ranged,0,0,0,1,1,0,0,1,2
102,Abaddon,all,Melee,1,0,0,0,0,0,1,1,2
103,Elder Titan,str,Melee,0,0,0,1,1,1,1,0,2
104,Legion Commander,str,Melee,1,0,0,1,1,1,1,0,2
105,Techies,all,Ranged,0,0,0,1,1,0,0,0,6
106,Ember Spirit,agi,Melee,1,0,0,1,1,1,0,0,2
107,Earth Spirit,str,Melee,0,0,0,1,1,1,1,0,2
108,Underlord,str,Melee,0,0,0,1,1,0,1,1,2
109,Terrorblade,agi,Melee,1,0,1,1,0,0,0,0,2
110,Phoenix,all,Ranged,0,0,0,1,1,1,0,1,2
111,Oracle,int,Ranged,0,0,0,1,1,0,0,1,0
112,Winter Wyvern,all,Ranged,0,0,0,1,1,0,0,1,2
113,Arc Warden,agi,Ranged,1,0,0,1,0,0,0,0,2
114,Monkey King,agi,Melee,1,0,0,0,1,1,0,0,2
119,Dark Willow,all,Ranged,0,0,0,1,1,0,0,1,2
120,Pangolier,all,Melee,1,0,0,1,1,1,1,0,2
121,Grimstroke,int,Ranged,0,0,0,1,1,0,0,1,0
123,Hoodwink,agi,Ranged,0,0,0,1,1,0,0,1,4
126,Void Spirit,all,Melee,1,0,0,1,1,0,0,0,2
128,Snapfire,all,Ranged,0,0,0,1,1,0,0,1,2
129,Mars,str,Melee,1,0,0,0,1,1,1,0,2
135,Dawnbreaker,str,Melee,1,0,0,0,0,0,1,0,2
136,Marci,all,Melee,1,0,0,0,1,1,0,1,2
137,Primal Beast,str,Melee,0,0,0,0,1,1,1,0,2
138,Muerta,int,Ranged,1,0,0,1,1,0,0,0,2
